Statistic,Quarter,Item,value
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2012Q3,General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41),1883
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2012Q3,General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3),454
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2012Q3,General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632),7340
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2012Q3,General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7),783
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2012Q3,General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9),324
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2012Q3,Net operating balance - ESA2010 Code  (NOB),-3967
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2012Q3,Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c),-540
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2012Q3,General Government Surplus/Deficit - ESA2010 Code (B9),-3427
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2012Q3,Net acquisition of financial assets,8719
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2012Q3,Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4),8669
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2012Q3,Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5),12
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2012Q3,Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8),37
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2012Q3,Net incurrence of liabilities,11294
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2012Q3,Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4),11277
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2012Q3,Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8),17
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2012Q3,Memo: Net derivative flows on debt interest swap contracts,-55
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2012Q3,General Government transactions - Seasonally Adjusted Revenue - ESA2010 Code (TR),15219
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2012Q3,General Government transactions - Seasonally Adjusted Expenditure - ESA2010 Code (TE),18408
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2012Q3,General Government Seasonally Adjusted Surplus/Deficit - ESA2010 Code (B9),-3189
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2012Q4,General Government transactions - Revenue - ESA2010 Code (TR),16685
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2012Q4,General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61),14735
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2012Q4,General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91),11820
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2012Q4,General Government transactions - Revenue - Social contributions - ESA2010 Code (D61),2914
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2012Q4,General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10),1412
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2012Q4,General Government transactions - Revenue - Investment income - ESA2010 Code (D4),389
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2012Q4,General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7),90
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2012Q4,General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N),59
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2012Q4,General Government transactions - Expenditure - ESA2010 Code (TE),19371
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2012Q4,General Government transactions - Expenditure - Expense - ESA2010 Code (Expense),19289
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2012Q4,General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1),4907
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2012Q4,General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29),2414
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2012Q4,General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c),797
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2012Q4,General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41),1974
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2012Q4,General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3),625
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2012Q4,General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632),7876
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2012Q4,General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7),523
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2012Q4,General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9),173
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2012Q4,Net operating balance - ESA2010 Code  (NOB),-2604
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2012Q4,Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c),82
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2012Q4,General Government Surplus/Deficit - ESA2010 Code (B9),-2686
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2012Q4,Net acquisition of financial assets,-3496
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2012Q4,Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4),-5286
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2012Q4,Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5),483
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2012Q4,Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8),1307
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2012Q4,Net incurrence of liabilities,-467
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2012Q4,Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4),-624
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2012Q4,Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8),157
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2012Q4,Memo: Net derivative flows on debt interest swap contracts,-63
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2012Q4,General Government transactions - Seasonally Adjusted Revenue - ESA2010 Code (TR),14832
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2012Q4,General Government transactions - Seasonally Adjusted Expenditure - ESA2010 Code (TE),18109
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2012Q4,General Government Seasonally Adjusted Surplus/Deficit - ESA2010 Code (B9),-3277
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q1,General Government transactions - Revenue - ESA2010 Code (TR),14109
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q1,General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61),12487
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q1,General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91),9784
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q1,General Government transactions - Revenue - Social contributions - ESA2010 Code (D61),2703
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q1,General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10),1014
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q1,General Government transactions - Revenue - Investment income - ESA2010 Code (D4),490
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q1,General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7),40
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q1,General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N),79
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q1,General Government transactions - Expenditure - ESA2010 Code (TE),18166
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q1,General Government transactions - Expenditure - Expense - ESA2010 Code (Expense),17551
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q1,General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1),4744
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q1,General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29),1726
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q1,General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c),812
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q1,General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41),1959
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q1,General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3),415
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q1,General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632),6671
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q1,General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7),877
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q1,General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9),346
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q1,Net operating balance - ESA2010 Code  (NOB),-3442
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q1,Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c),616
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q1,General Government Surplus/Deficit - ESA2010 Code (B9),-4057
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q1,Net acquisition of financial assets,5001
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q1,Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4),6511
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q1,Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5),52
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q1,Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8),-1562
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q1,Net incurrence of liabilities,9181
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q1,Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4),9152
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q1,Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8),29
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q1,Memo: Net derivative flows on debt interest swap contracts,-80
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q1,General Government transactions - Seasonally Adjusted Revenue - ESA2010 Code (TR),15206
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q1,General Government transactions - Seasonally Adjusted Expenditure - ESA2010 Code (TE),18752
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q1,General Government Seasonally Adjusted Surplus/Deficit - ESA2010 Code (B9),-3546
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q2,General Government transactions - Revenue - ESA2010 Code (TR),15365
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q2,General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61),12444
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q2,General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91),9760
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q2,General Government transactions - Revenue - Social contributions - ESA2010 Code (D61),2684
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q2,General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10),1065
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q2,General Government transactions - Revenue - Investment income - ESA2010 Code (D4),1781
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q2,General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7),35
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q2,General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N),40
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q2,General Government transactions - Expenditure - ESA2010 Code (TE),17256
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q2,General Government transactions - Expenditure - Expense - ESA2010 Code (Expense),17602
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q2,General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1),4791
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q2,General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29),2017
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q2,General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c),812
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q2,General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41),1908
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q2,General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3),435
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q2,General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632),6705
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q2,General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7),713
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q2,General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9),221
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q2,Net operating balance - ESA2010 Code  (NOB),-2237
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q2,Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c),-346
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q2,General Government Surplus/Deficit - ESA2010 Code (B9),-1891
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q2,Net acquisition of financial assets,-2531
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q2,Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4),-2659
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q2,Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5),475
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q2,Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8),-348
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q2,Net incurrence of liabilities,-760
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q2,Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4),-725
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q2,Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8),-35
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q2,Memo: Net derivative flows on debt interest swap contracts,-58
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q2,General Government transactions - Seasonally Adjusted Revenue - ESA2010 Code (TR),15575
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q2,General Government transactions - Seasonally Adjusted Expenditure - ESA2010 Code (TE),17748
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q2,General Government Seasonally Adjusted Surplus/Deficit - ESA2010 Code (B9),-2173
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q3,General Government transactions - Revenue - ESA2010 Code (TR),14845
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q3,General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61),13383
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q3,General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91),10745
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q3,General Government transactions - Revenue - Social contributions - ESA2010 Code (D61),2638
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q3,General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10),935
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q3,General Government transactions - Revenue - Investment income - ESA2010 Code (D4),437
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q3,General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7),38
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q3,General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N),51
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q3,General Government transactions - Expenditure - ESA2010 Code (TE),17871
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q3,General Government transactions - Expenditure - Expense - ESA2010 Code (Expense),18363
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q3,General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1),4703
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q3,General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29),2154
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q3,General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c),812
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q3,General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41),1947
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q3,General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3),459
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q3,General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632),7156
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q3,General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7),835
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q3,General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9),296
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q3,Net operating balance - ESA2010 Code  (NOB),-3518
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q3,Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c),-492
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q3,General Government Surplus/Deficit - ESA2010 Code (B9),-3026
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q3,Net acquisition of financial assets,-1659
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q3,Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4),-493
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q3,Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5),-1293
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q3,Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8),127
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q3,Net incurrence of liabilities,1243
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q3,Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4),1290
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q3,Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8),-46
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q3,Memo: Net derivative flows on debt interest swap contracts,-58
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q3,General Government transactions - Seasonally Adjusted Revenue - ESA2010 Code (TR),15430
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q3,General Government transactions - Seasonally Adjusted Expenditure - ESA2010 Code (TE),18081
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q3,General Government Seasonally Adjusted Surplus/Deficit - ESA2010 Code (B9),-2651
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q4,General Government transactions - Revenue - ESA2010 Code (TR),17077
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q4,General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61),15139
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q4,General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91),12230
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q4,General Government transactions - Revenue - Social contributions - ESA2010 Code (D61),2909
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q4,General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10),1216
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q4,General Government transactions - Revenue - Investment income - ESA2010 Code (D4),570
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q4,General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7),38
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q4,General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N),115
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q4,General Government transactions - Expenditure - ESA2010 Code (TE),19576
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q4,General Government transactions - Expenditure - Expense - ESA2010 Code (Expense),18885
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q4,General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1),4673
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q4,General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29),2411
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q4,General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c),812
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q4,General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41),1945
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q4,General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3),615
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q4,General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632),7605
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q4,General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7),753
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q4,General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9),71
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q4,Net operating balance - ESA2010 Code  (NOB),-1808
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q4,Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c),691
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q4,General Government Surplus/Deficit - ESA2010 Code (B9),-2499
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q4,Net acquisition of financial assets,-6977
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q4,Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4),-7653
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q4,Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5),-537
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q4,Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8),1213
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q4,Net incurrence of liabilities,-4120
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q4,Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4),-4177
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q4,Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8),56
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q4,Memo: Net derivative flows on debt interest swap contracts,-77
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q4,General Government transactions - Seasonally Adjusted Revenue - ESA2010 Code (TR),15166
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q4,General Government transactions - Seasonally Adjusted Expenditure - ESA2010 Code (TE),18294
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2013Q4,General Government Seasonally Adjusted Surplus/Deficit - ESA2010 Code (B9),-3127
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q1,General Government transactions - Revenue - ESA2010 Code (TR),15033
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q1,General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61),13427
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q1,General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91),10472
